Fruits and Vegetables,18456.77,145.33,127,4.00
Snack Foods,18102.81,141.43,128,4.01
Frozen Foods,14238.49,134.33,106,3.95
Household,14096.07,148.38,95,3.82
Dairy,10934.76,147.77,74,4.01
